PlacesIdx,County,Phillimore,Hundred,Vill,Area,XRefs,OSrefs,OScodes
33606,"YKS","9W55. SW,O10","`Osgodcross'","[Glass] Houghton","West Riding",,"SE4324",
33611,"YKS","5W17. CW20. SW,Sf30","Strafforth","[Great] Houghton","West Riding",,"SE4306",
33616,"NTH","8,5. 18,31. 39,3. 56,42","Mawsley","[Hanging] Houghton",,,"SP7573",
33621,"YKS","10W24. SW,Sf18","Strafforth","[Little] Houghton","West Riding",,"SE4205",
33626,"NFK","21,15","`[South] Greenhoe'","Houghton [on the Hill]",,,"TF8605",
33631,"LEC","14,16","Gartree","Houghton [-on-the-Hill]",,,"SK6703",
33636,"BDF","1,3-4","`Manshead'","Houghton [Regis]",,,"TL0123",
33641,"NFK","1,33","`[North] Greenhoe'","Houghton [St Giles]",,,"TF9235",
33646,"DBY","8,6","`Scarsdale'","[Stony] Houghton",,,"SK4966",
33651,,,,"{Hougun}: see Millom YKS",,"Millom YKS",,
33656,"HAM","23,18","Mansbridge","Hound",,,"SU4708",
33661,"WOR","1,1a","`Came'","Houndsfield",,,"SP0876",
33666,"SOM","19,81","Stone","Houndstone",,,"ST5217",
33671,"DEV","5,11","Teignbridge","Houndtor",,,"SX7579",
33676,"ESS","22,3. 51,1","Harlow","Housham [Hall]",,,"TL5011",
33681,"NTT","11,14","Thurgarton","Hoveringham",,,"SK6946",
33686,"YKS","23N20 and note","{Maneshou}","`Hoveton'","North Riding",,"SE6786","approximate"
33691,"NFK","8,10. 17,21;24;33;37. 20,31. 26,5","Tunstead","Hoveton [St John and St Peter]",,,,
33696,"YKS","23N23(-24)","{Maneshou}","Hovingham","North Riding",,"SE6675",
33701,"YKS","2W7 and note. SW,Bu48","`Burghshire'","How [Hill]","West Riding","`Herleshow' YKS","SE2767",
33706,"ESS","4,15. 32,4","Witham","Howbridge",,,"TL8113",
33711,"KEN","5,20","`Litlelee'","`Howbury'","Sutton",,"TQ5376",
33716,"YKS","3Y4;6. 5E12(-14);15;25-26. CE16. SE,How1(-5);6","Howden","Howden","East Riding",,"SE7428",
33721,"ESS","23,15. 90,53","`Hinckford'","Howe",,,"TL6933",
33726,"NFK","1,105;207. 14,16","`Henstead'","Howe",,,"TM2799",
33731,"YKS","6N158. SN,CtA44","Land of Count Alan","Howe","North Riding",,"SE3580",
33736,"LIN","1,3. 7,46. 24,39. 26,29. 67,2","`Aswardhurn'","Howell","Kesteven",,"TF1346",
33741,"YKS","6N142. SN,CtA39","Land of Count Alan","Howgrave","North Riding",,"SE3179",
33746,"YKS","2W13 and note. 3Y9(-10). SW,H2;4","Hallikeld","Howgrave","West Riding",,"SE3179",
33751,"SHR","4,19,5","Wrockwardine","Howle",,,"SJ6923",
33756,"HEF","1,60","Archenfield","Howle [Hill]",,,"SO6020",
33761,"LIN","1,66. 12,11;13","Yarborough","Howsham","Lindsey North Riding",,"TA0404",
33766,"YKS","5E60;63-65;67. SE,Ac5","Acklam","Howsham","East Riding",,"SE7362",
33771,"YKS","23N24 and note","{Maneshou}","Howthorpe [Farm]","North Riding",,"SE6772",
33776,"SUF","1,92;114. 6,70;308;311-313. 8,36-37;42. 14,161. 18,1. 21,45-46. 44,2. 64,3. 75,3;5","Bishop's","Hoxne",,,"TM1877",
33781,"MDX","3,25-26","`Ossulstone'","Hoxton",,,"TQ3383",
33786,"YKS","9W75. SW,St6","Staincross","[High] Hoyland","West Riding",,"SE2710",
33791,"YKS","10W18. 12W1;6. SW,Sf11;16","Strafforth","Hoyland [Nether]","West Riding",,"SE3600",
33796,"YKS","9W70;92. SW,St14","Staincross","Hoyland [Swaine]","West Riding",,"SE2604",
33801,"YKS","30W5","Craven","Hubberholme","West Riding",,"SD9278",
33806,"YKS","1Y1. 29N13. SN,B17","`Bulford'","Huby","North Riding",,"SE5665",
33811,"GLS","2,2","`Dudstone'","Hucclecote",,,"SO8717",
33816,"DBY","7,10","Blackwell","[Great and Little] Hucklow",,,,
33821,"NTT","10,49. 15,4","Broxtowe","Hucknall",,,"SK5348",
33826,"YKS","9W109. SW,Ag13","Agbrigg","Huddersfield","West Riding",,"SE1416",
33831,"WOR","2,57","`Oswaldslow'","Huddington",,,"SO9457",
33836,"NFK","9,100. 31,8. 50,11","`Depwade'","Hudeston",,,"TM1193",
33841,"YKS","6N68. SN,CtA23","Land of Count Alan","Hudswell","North Riding",,"NZ1400",
33846,"HAM","IoW9,14;20","Bowcombe","`Huffingford'","Isle of Wight",,"SZ5086","speculative"
33851,"YKS","1E9. 29E7. SE,Wa3","Warter","Huggate","East Riding",,"SE8855",
33856,"SUF","14,164 {note}","-","{Huggingehale}",,,,"unknown"
33861,"BUK","4,16","Desborough","Hughenden",,,"SU8696",
33866,"DEV","25,2. 42,4","Merton","Huish",,,"SS5311",
33871,"DEV","3,16","Fremington","Huish",,,"SS4829",
33876,"DEV","49,7","Wonford","[East and Great] Huish",,,,
33881,"SOM","24,35-36","Bempstone","`Huish'",,,"ST3148",
33886,"SOM","21,43. 31,3","Williton","Huish",,,"ST0439",
33891,"WIL","68,3","Swanborough","Huish",,,"SU1463",
33896,"SOM","22,2","Williton","Huish [Champflower]",,,"ST0429",
33901,"DEV","17,46","Diptford","[North] Huish",,,"SX7156",
33906,"DEV","17,36","Diptford","[South] Huish",,,"SX6941",
33911,"NTH","2,1. 48,15","Cleyley","Hulcote",,,"SP7049",
33916,"DBY","9,3","`Appletree'","Hulland",,,"SK2447",
33921,"GLS","1,23","Cirencester","Hullasey",,,"ST9699",
33926,"WIL","41,1","Startley","Hullavington",,,"ST8982",
33931,"STS","11,21","Pirehill","[Abbey] Hulton",,,"SJ9148",
33936,"HEF","1,10c","Leominster","Humber",,,"SO5356",
33938,"LIN","14,4","Bradley","Humberston","Lindsey North Riding",,"TA3105",
33941,"LEC","13,24","`Goscote'","Humberstone",,,"SK6205",
33951,"YKS","14E2. SE,Hol6","Holderness [Middle Hundred]","Humbleton","East Riding",,"TA2234",
33956,"YKS","28W33 and note;36. SW,H6","Hallikeld","[Hum]burton","West Riding",,"SE4268",
33961,"LIN","31,4","`Threo'","[Great and Little] Humby","Kesteven",,"TF0032",
33971,"YKS","9W21 and note","Barkston","{Hunchilhuse}","West Riding","{Hunchilhuses} YKS","SE4833","approximate"
33976,"YKS","9W21 note. SW,BA5","Barkston","{Hunchilhuses}","West Riding","{Hunchilhuse} YKS","SE4833","approximate"
33981,"CHS","R4,2","Blackburn","Huncoat","South Lancashire",,"SD7730",
33986,"LEC","9,3-4","Guthlaxton","Huncote",,,"SP5197",
33991,"YKS","6N41. SN,CtA16","Land of Count Alan","Hunderthwaite","North Riding",,"NY9821",
33996,"SUF","6,250. 21,82","Wilford","`Hundesthoft'",,,"TM3248",
33998,,,,"'Hundestuf': see `Hundesthoft' SUF",,"`Hundesthoft' SUF",,
34001,"LIN","3,24. 14,72","Bolingbroke","Hundleby","Lindsey South Riding",,"TF3866",
34006,"LIN","1,65. CN6","Yarborough","Hundon","Lindsey North Riding",,"TA1102",
34011,"SUF","24,2;12","Risbridge","Hundon",,,"TL7348",
34016,"YKS","5N75 and note. SN,Bi8","`Yarlestre'","Hundulfthorpe [Farm]","North Riding",,"SE4485",
34021,"OXF","21,1","Dorchester","{Hunesworde}",,,"SU5999","speculative"
34026,,,,"{Hunesworde}: see Chislehampton",,"Chislehampton",,
34031,"GLS","39,15 note","Barrington","`Hungerford'",,,"SP1913",
34036,"LEC","15,10","`Goscote'","Hungarton",,,"SK6907",
34041,"LIN","18,26","`Winnibriggs'","Hungerton","Kesteven",,"SK8730",
34046,"CHS","1,29","{Hamestan}","{Hungrewenitune}",,,"SJ9077","speculative"
34051,"YKS","20E1(-3);4. SE,Tu1","{Torbar}","Hunmanby","East Riding",,"TA0977",
34056,"WAR","28,6(-7)","Marton","Hunningham",,,"SP3768",
34061,"HRT","25,2. 44,1","Braughing","Hunsdon",,,"TL4114",
34066,"YKS","9W85 and note. SW,St10","Staincross","Hunshelf [Hall]","West Riding",,"SK2799",
34071,"YKS","5W36(-37). 24W7(-8);20. SW,Bu8","`Burghshire'","Hunsingore","West Riding",,"SE4253",
34076,"YKS","9W125. SW,M3","Morley","Hunslet","West Riding",,"SE3131",
34081,"YKS","3Y1 and note. 23E4. SE,C3","Cave","[High and Low] Hunsley","East Riding",,,
34086,"NFK","1,209. 9,9;118. 10,51. 16,5. 49,2","`Smethdon'","Hunstanton",,,"TF6841",
34091,"SUF","1,89. 14,95","Blackburn","Hunston",,,"TL9768",
34096,"SUS","11,43","Stockbridge","Hunston","Chichester",,"SU8602",
34101,"HUN","B1(-14);15(-21). D1","`Hurstingstone'","Huntingdon",,,"TL2371",
34106,"SUF","6,80;82","`Blything'","Huntingfield",,,"TM3374",
34111,"CHS","A4","`Duddeston'","Huntington",,,"SJ4262",
34116,"HEF","2,40","{Cutestornes}","Huntington",,,"SO4841",
34121,"HEF","1,69","Elsdon","Huntington",,,"SO2453",
34126,"SHR","4,11,2(-3)","{Culvestan}","Huntington",,,"SO5371",
34131,,,,"Huntington: see {Estendone} STS",,"{Estendone} STS",,
34136,"YKS","1N101. 5N66. 6N162. SN,B16","`Bulford'","Huntington","North Riding",,"SE6156",
34141,"GLS","32,6","Botloe","Huntley",,,"SO7219",
34146,"KEN","{3,5}.","Maidstone","Hunton","Aylesford",,"TQ7249",
34151,"YKS","6N135. SN,CtA38","Land of Count Alan","Hunton","North Riding",,"SE1892",
34156,"ESS","22,13","`Hinckford'","Hunt's Hall",,,"TL8432",
34161,"DEV","42,14;23","Tiverton","Huntsham",,,"ST0020",
34166,"DEV","19,5","Fremington","Huntshaw",,,"SS5022",
34171,"SOM","24,28;34","Huntspill","[East and West] Huntspill",,,,
34176,"SOM","46,11","North Petherton","Huntstile",,,"ST2633",
34181,"SOM","35,3","North Petherton","Huntworth",,,"ST3134",
34186,"NFK","1,23. 4,21. 25,22","Holt","Hunworth",,,"TG0635",
34191,"WOR","1,2","`Cresslow'","Hurcott",,,"SO8577",
34196,"WIL","27,25","`Cadworth'","Hurdcott",,,"SU0431",
34201,"WIL","37,16","Alderbury","Hurdcott",,,"SU1733",
34206,"BRK","38,5","`Beynhurst'","Hurley",,,"SU8283",
34211,"CHS","R1,32;42","[West] Derby","Hurlston","South Lancashire",,"SD4010",
34216,"HAM","23,61","`Edgegate'","Hurn",,,"SZ1297",
34221,"DOR","55,38(-39)","Hasler","Hurpston",,,"SY9280",
34226,"GLS","1,17","Berkeley","Hurst and [Old] Hurst",,,,
34231,"KEN","D18. 5,153","Faversham","Hurst","Wye",,"TR0651","speculative"
34236,"SUS","9,129","Staple","Hurst","Hastings",,"TQ7819",
34241,"DBY","10,17","Blackwell","[Nether and Upper] Hurst",,,,
34246,"HAM","3,6","`Evingar'","Hurstbourne [Priors]",,,"SU4346",
34251,"HAM","1,44","Hurstbourne","Hurstbourne [Tarrant]",,,"SU3853",
34256,"SUS","12,36. 13,46","`Buttinghill'","Hurstpierpoint","Lewes",,"TQ2716",
34261,"SUR","22,2","Godalming","Hurtmore",,,"SU9545",
34266,"WOR","8,12","Pershore","[Martin] Hussingtree",,,"SO8860",
34271,"LIN","13,8. 27,60(-62). 68,14. CS16-17","`Calcewath'","Huttoft","Lindsey South Riding",,"TF5176",
34281,"ESS","13,1","Barstable","Hutton",,,"TQ6394",
34286,"SOM","5,10. 8,38","`Winterstoke'","Hutton",,,"ST3558",
34291,"YKS","1L2 and note. See also CHS Y3","Amounderness","`Hutton'","North Lancashire",,"SD5160","approximate"
34296,"YKS","1N115 and note. SN,Bi6 note. SN,A2","Allerton","Hutton [Bonville]","North Riding",,"NZ3300",
34301,"YKS","1Y3. SN,L18 note. SN,D7","{Dic}","Hutton [Buscel]","North Riding",,"SE9784",
34306,"YKS","2W13 and note. 3Y9(-10). SW,H3-5","Hallikeld","Hutton [Conyers]","West Riding",,"SE3273",
34311,"YKS","5E39 and note. 23E8. SE,Dr5","Driffield","Hutton [Cranswick]","East Riding",,"TA0253",
34316,"YKS","6N131. SN,Bi6 note. SN,CtA37","Land of Count Alan","Hutton [Hang]","North Riding",,"SE1688",
34321,"YKS","23N20","{Maneshou}","Hutton [le Hole]","North Riding",,"SE7090",
34326,"YKS","1N85 and note. 8N9. 31N8. SN,L18 note. SN,B1","`Bulford'","[Low] Hutton","North Riding",,"SE7667",
34331,"YKS","5N19. SN,L18 and note;(19)","Langbaurgh","Hutton [Lowcross]","North Riding",,"NZ6013",
34336,"YKS","6N2. SN,Bi6 note. SN,CtA8","Land of Count Alan","Hutton [Magna]","North Riding",,"NZ1212",
34341,"YKS","5N2. SN,L6 and note","Langbaurgh","Hutton [Mulgrave]","North Riding",,"NZ8310",
34346,"YKS","1L7. See also CHS Y8","Amounderness","[Old] Hutton","Westmorland",,"SD5688",
34351,"YKS","1L4. See also CHS Y5","Amounderness","[Priest] Hutton","North Lancashire",,"SD5373",
34356,"YKS","1L3. See also CHS Y4","Amounderness","Hutton [Roof]","Westmorland",,"SD5778",
34361,"YKS","5N29. SN,L18 note;42","Langbaurgh","Hutton [Rudby]","North Riding",,"NZ4606",
34366,"YKS","1Y1. SN,Bi6 and note","`Yarlestre'","[Sand] Hutton","North Riding",,"SE3882",
34371,"YKS","1N95. 23N30. CN4 and note. SN,B11","`Bulford'","[Sand] Hutton","North Riding",,"SE6958",
34376,"YKS","1N87. 5N54. CN5 and note. SN,L6 note. SN,B3","`Bulford'","[Sheriff] Hutton","North Riding",,"SE6566",
34381,,,,"Hutton Wandesley: see [Hutton] Wandesley YKS",,"[Hutton] Wandesley YKS",,
34386,"DEV","34,29","Wonford","Huxham",,,"SX9497",
34391,"DEV","35,11","Merton","Huxhill",,,"SS4923",
34396,"CHS","R1,3","[West] Derby","Huyton","South Lancashire",,"SJ4491",
34401,"GLS","32,10 note","Westbury","Hyde",,,"SO6812",
34406,"HRT","20,10","`Edwinstree'","Hyde Hall",,,"TL3432",
34411,"LIN","12,92. 65,5. CK29","Graffoe","North Hykeham","Kesteven",,"SK9465",
34416,"LIN","65,3. CK27","Graffoe","[South] Hykeham","Kesteven",,"SK9364",
34421,"KEN","2,26;41","Heane","Hythe","Lympne",,"TR1634",
34426,"SHR","4,2,1","Welsh District","Ial","Wales",,"  --","area"
34431,"YKS","13E6 and note. CE25-26. SE,Sn9","{Sneculfcros}","{Ianulfestorp}","East Riding",,"SE6652","approximate"
34436,,,,"{Iarpestuna}: see {Ierpestuna} NFK",,"{Ierpestuna} NFK",,
34441,"DOR","1,10","Hilton","Ibberton",,,"ST7807",
34446,"DBY","1,12","Hamston","Ible",,,"SK2457",
34451,"HAM","23,52","Fordingbridge","Ibsley",,,"SU1509",
34456,"LEC","44,11","Guthlaxton","Ibstock",,,"SK4010",
34461,"BUK","48,1. E7-8","Desborough","Ibstone",,,"SU7593",
34466,"OXF","58,11;13","Pyrton","Ibstone",,,"SU7593",
34471,"SUF","6,297","Wangford","{Icheburna}",,,,"unknown"
34476,"NFK","8,41. 22,21. 22,15-16. 50,3","`Grimshoe'","Ickburgh",,,"TL8195",
34481,"MDX","7,8. 9,6. 15,2","`Elthorne'","Ickenham",,,"TQ0786",
34486,"BUK","12,6. 23,8","Ixhill","Ickford",,,"SP6407",
34491,"KEN","3,8","`Downhamford'","Ickham","Borough",,"TR2258",
34496,"CAM","1,20. 15,1. 26,15;23","Whittlesford","Ickleton",,,"TL4943",
34501,"SUF","1,115. 34,1. 53,1","Lackford","Icklingham",,,"TL7772",
34506,"SUF","14,10","`Thingoe'","Ickworth",,,"TL8161",
34511,"GLS","E26. EvC40. WoB7. WoC6","`Oswaldslow'","[Church] Icomb",,,"SP2122",
34516,"WOR","2,41","`Oswaldslow'","[Church] Icomb",,,"SP2122",
34521,"GLS","39,4","Salmonsbury","`Icomb [Place]'",,,"SP2122",
34526,"GLS","53,8","Salmonsbury","`Icomb [Proper]'",,,"SP2022",
34531,"OXF","30,1","Shipton","Idbury",,,"SP2320",
34536,"DEV","1,63. 24,22","Merton","Iddesleigh",,,"SS5608",
34541,"CHS","A6","Rushton","Iddinshall",,,"SJ5362",
34546,"DEV","2,6","Exminster","Ide",,,"SX8990",
34551,"DEV","48,8","Teignbridge","Ideford",,,"SX8977",
34556,"SUS","9,110","`Goldspur'","Iden","Hastings",,"TQ9123",
34561,"KEN","5,7","`Axton'","Idleigh","Sutton",,"TQ6265",
34566,"CON","5,15,6","`Tybesta'","Idless",,,"SW8247",
34571,"WAR","22,5","{Fexhole}","Idlicote",,,"SP2844",
34576,"WIL","7,14","Alderbury","Idmiston",,,"SU1937",
34581,"SOM","21,27","Cannington","Idson",,,"ST2244",
34586,"NFK","1,239 and note. 31,14. 35,18","`Clavering'","{Ierpestuna}",,,,"unknown"
34587,,,,"{Ierpstuna}: see {Ierpestuna} NFK",,"{Ierpestuna} NFK",,
34591,"OXF","18,1","Headington","Iffley",,,"SP5203",
34596,"SUS","13,54","Ifield","Ifield","Bramber",,"TQ2537",
34601,"SUS","12,3","Swanborough","Iford","Lewes",,"TQ4007",
34606,"SHR","4,23,11","Hodnet","Ightfield",,,"SJ5938",
34611,"OXF","27,7","Wootton","Ilbury",,,"SP4331",
34616,"SOM","1,10;31. 8,37. (15,1). 24,17","Tintinhull","Ilchester",,,"ST5222",
34621,"GLS","E34","`Oswaldslow'","{Ildeberga}",,,"SP2332","approximate"
34626,"WOR","10,12","`Oswaldslow'","{Ildeberga}",,,"SP2332","approximate"
34631,"ESS","64,1","Becontree","Ilford",,,"TQ4486",
34636,"DEV","16,84","Braunton","Ilfracombe",,,"SS5147",
34641,"DEV","19,16","Shirwell","[East and West] Ilkerton",,,,
34646,"DBY","13,1. 17,13(-14)","`Morleystone'","Ilkeston",,,"SK4641",
34651,"SUF","4,20;22-24;26;28;32. 13,7","Wangford","Ilketshall [St Andrew, St John, St Lawrence and St Margaret]",,,,
34656,"YKS","2W4. 13W5. SW,Sk1;18","`Skyrack'","Ilkley","West Riding",,"SE1147",
34661,"CON","3,7. 5,1,17","Rillaton","Illand?",,,"SX2878","speculative"
34666,,,,"Illeigh: see Eleigh SOM",,"Eleigh SOM",,
34671,"NFK","8,58","Shropham","Illington",,,"TL9490",
34676,"LEC","1,4. 8,3. 13,13. 17,16","Gartree","Illston [-on-the-Hill]",,,"SP7099",
34681,"BUK","4,22","Ixhill","Ilmer",,,"SP7605",
34686,"WAR","16,20;64. 22,20","Barcheston","Ilmington",,,"SP2143",
34691,"SOM","9,3","`Abdick'","Ilminster",,,"ST3614",
34696,"DEV","51,9","Kerswell","Ilsham",,,"SX9364",
34701,"DEV","32,6","Teignbridge","Ilsington",,,"SX7876",
34706,"DOR","27,2","Puddletown","Ilsington",,,"SY7591",
34711,"BRK","B4. 3,1. 21,2. 22,7. 38,1-2","`Nakedthorn'","[East and West] Ilsley",,,,
34716,"ESS","20,16. 24,42","`Wibrihtesherne'","Iltney [Farm]",,,"TL8804",
34721,"DEV","17,39","Diptford","Ilton",,,"SX7240",
34726,"SOM","10,1","`Abdick'","Ilton",,,"ST3517",
34731,"YKS","6N117. SN,CtA33","Land of Count Alan","Ilton","North Riding",,"SE1978",
34736,"WIL","41,6","Heytesbury","Imber",,,"ST9648",
34746,"LIN","22,1(-2). 32,22","Yarborough","Immingham","Lindsey North Riding",,"TA1714",
34751,"CAM","5,41;43. 32,36","`Northstowe'","Impington",,,"TL4463",
34756,"CHS","A16","Ruloe","Ince",,,"SJ4476",
34761,"CHS","R1,10","[West] Derby","Ince [Blundell]","South Lancashire",,"SD3203",
34766,,,,"{Indrelag}: see Richmond YKS",,"Richmond YKS",,
34771,,,,"{Indrelage}: see Richmond YKS",,"Richmond YKS",,
34776,"SHR","4,14,28","`Conditre'","Ingardine",,,"SO6281",
34781,"LEC","C11. 13,51","Gartree","[Old] Ingarsby",,,"SK6805",
34786,"ESS","9,11","Chelmsford","Ingatestone",,,"TQ6599",
34791,"YKS","9W86. SW,St11 and note","Staincross","[Ing]birchworth","West Riding",,"SE2205",
34796,"STS","11,32","Pirehill","Ingestre",,,"SJ9724",
34801,"LIN","4,5-6. 7,14. 16,41-42. 26,11-13;24. 28,7;9. 40,2(-3). 68,30","`Aslacoe'","Ingham","Lindsey West Riding",,"SK9483",
34806,"NFK","4,39;41. 17,57","`Happing'","Ingham",,,"TG3926",
34811,"OXF","59,28","Pyrton","`Ingham'",,,"SU6794",
34816,"SUF","8,32. 14,64;69","Blackburn","Ingham",,,"TL8570",
34821,"DBY","1,26. 10,23. 14,5. 17,23","{Walecros}","Ingleby",,,"SK3427",
34826,"LIN","4,2. 18,1(-2). 22,30","`Lawress'","Ingleby","Lindsey West Riding",,"SK8977",
34831,"YKS","1N127. 31N5. SN,A7","Allerton","Ingleby [Arncliffe]","North Riding",,"NZ4400",
34836,,,,"Ingleby Barwick: see Ingleby Hill, {Englebi}, Barwick YKS",,"Ingleby Hill, {Englebi}, Barwick YKS",,
34841,"YKS","29N9. SN,L35 note. SN,L40","Langbaurgh","Ingleby [Greenhow]","North Riding",,"NZ5806",
34846,"YKS","4N3 and note. SN,L35 and note","Langbaurgh","Ingleby [Hill]","North Riding",,"NZ4412",
34851,"CHS","FT2,7","Ati's Cross","{Inglecroft}","Ati's Cross",,,"unknown"
34856,"DEV","39,4","Black Torrington","Ingleigh [Green] and [Lower] Ingleigh",,,,
34861,"YKS","13N15 and note. SN,B22","`Bulford'","`Inglethwaite'","North Riding",,"SE5269","approximate"
34866,"YKS","1L3","Amounderness","Ingleton","West Riding",,"SD6972",
34871,"BRK","40,2. 65,18;20","Kintbury","Inglewood",,,"SU3666",
34876,"NFK","35,7","`Lodding'","Ingloss",,,"TM3496",
34881,"YKS","5W37 and note. 24W20. SW,Bu44","`Burghshire'","Ingmanthorpe [Hall]","West Riding",,"SE4250",
34886,"NFK","34,4. 50,4","`Smethdon'","Ingoldisthorpe",,,"TF6932",
34891,"LIN","38,9","`Candleshoe'","Ingoldmells","Lindsey South Riding",,"TF5568",
34896,"LIN","24,99. 31,10. 58,3. 67,7(-8). CK35","`Aswardhurn'","Ingoldsby","Kesteven",,"TF0030",
34901,"SUF","21,65. 32,26. 67,18","Carlford","{Ingoluestuna}",,,,"unknown"
34906,"SUF","6,146","`Plomesgate'","{Ingoluestuna}",,,,"unknown"
34911,"ESS","18,5. 34,3. 37,1","Barstable","Ingrave",,,"TQ6292",
34916,"DEV","32,7. 43,5","Teignbridge","Ingsdon",,,"SX8173",
34921,"YKS","30W27 and note","Craven","Ingthorpe [Grange]","West Riding",,"SD8952",
34926,"NFK","9,87. 21,33","South Erpingham","Ingworth",,,"TG1929",
34931,"WOR","2,16. 3,3","`Ash'","Inkberrow",,,"SP0157",
34936,"NTT","17,6","`Bassetlaw'","Inkersall",,,"SK6260",
34941,"BRK","22,10. 65,18","Kintbury","Inkpen",,,"SU3564",
34946,"GLS","E21 note. EvA105 note. EvC25 note. WoB5 note. WoC4 note","WOR","Innerstone",,,"SO7529",
34951,"YKS","1L1. See also CHS Y2","Amounderness","Inskip","North Lancashire",,"SD4637",
34956,"DEV","19,3","Black Torrington","Instaple",,,"SS3211",
34961,"SUF","75,4","Bishop's","Instead",,,"TM2380",
34966,"DEV","24,26","Fremington","Instow",,,"SS4730",
34971,"NFK","24,7","Humbleyard","Intwood",,,"TG1904",
34976,"DEV","16,23","Black Torrington","Inwardleigh",,,"SX5699",
34981,"SUS","10,116","Ruston","`Inwood'","Pevensey",,,"unknown"
34986,"SUS","14,2","Easebourne","Iping","Chichester",,"SU8522",
34991,"DEV","33,1","Kerswell","Ipplepen",,,"SX8366",
34996,"OXF","58,2","`Langtree'","Ipsden",,,"SU6385",
35001,"WAR","37,6","{Fernecumbe}","Ipsley",,,"SP0665",
35006,"WOR","EW1","{Fernecumbe}","Ipsley",,,"SP0665",
35011,"ESS","ESf2","Suffolk","Ipswich",,,"TM1644",
35016,"SUF","1,116;(122a-122g). 3,55;63. 6,4. 7,63. 16,47. 25,52;(54);60;62. 27,8. 31,55. 32,7. 38,3. 39,12. 41,13. 63,1. 74,8-9;11","Ipswich","Ipswich",,,"TM1644",
35021,"YKS","1Y2 and note. SN,A1","Allerton","Irby [Manor]","North Riding",,"NZ4103",
35026,"LIN","13,19. 14,34. 44,9","Bradley","Irby [-upon-Humber]","Lindsey North Riding",,"TA1904",
35031,"NTH","18,81. 35,1e;1j","Higham","Irchester",,,"SP9265",
35036,"YKS","1L3. See also CHS Y4","Amounderness","Ireby","North Lancashire",,"SD6575",
35041,"DBY","1,13","Hamston","[Kirk] Ireton",,,"SK2650",
35046,"DBY","6,92","Litchurch","Ireton",,,"SK3141",
35051,"YKS","23N1 and note","`Yarlestre'","{Iretone}","North Riding",,"SE5874","speculative"
35056,"BRK","58,2","Kintbury","Irish Hill",,,"SU4066",
35061,"DEV","1,66","Witheridge","Irishcombe",,,"SS7817",
35066,"NFK","8,8-9. 25,12","South Erpingham","Irmingland",,,"TG1229",
35071,"LIN","27,41. 35,14. CK9","`Beltisloe'","Irnham","Kesteven",,"TF0226",
35076,"NTH","6,15. 6a,30","`Navisland'","Irthlingborough",,,"SP9470",
35081,"YKS","13N10. SN,D6","{Dic}","Irton","North Riding",,"TA0184",
35086,,,,"Iscoyd: see {Burwardestone} FLN",,"{Burwardestone} FLN",,
35091,"NTH","4,8. 41,5. 55,1","Orlingbury","Isham",,,"SP8873",
35096,"SOM","9,4-5","`Abdick'","Isle [Abbotts]",,,"ST3520",
35101,"SOM","19,8. 35,17","`Abdick'","Isle [Brewers]",,,"ST3621",
35106,"YKS","23N8 and note","`Yarlestre'","Islebeck [Grange]","North Riding",,"SE4577",
35111,"CAM","1,3. 4,1. 14,72. 28,1","`Staploe'","Isleham",,,"TL6474",
35116,"SUF","21,66. 32,27","Carlford","Isleton",,,"TM2143",
35121,"MDX","12,1","Hounslow","Isleworth",,,"TQ1675",
35126,"MDX","3,22(-23). 9,3. 23,1","`Ossulstone'","Islington",,,"TQ3184",
35131,"NFK","4,44. 13,13. 14,1;4. 15,4;6. 19,1;3. 23,10. 66,56","`Freebridge'","Islington",,,"TF5716",
35136,"NTH","1,13b;13e. 4,27","`Huxloe'","Islip",,,"SP9878",
35141,"OXF","55,1","Kirtlington","Islip",,,"SP5214",
35146,"SHR","4,11,18","Wrockwardine","Isombridge",,,"SJ6113",
35151,"SUF","31,12","`Colnes'","{Isteuertona}",,,,"unknown"
35156,"HAM","3,8","Crondall","Itchel",,,"SU7849",
35161,"HAM","44,1","`Bountisborough'","Itchen [Abbas]",,,"SU5332",
35166,"SUS","6,1. 11,45","Wittering","Itchenor","Chichester",,"SU7901",
35171,"GLS","3,1. WoA4. WoB15","Brentry","Itchington",,,"ST6586",
35176,"WAR","6,12","Stoneleigh","[Bishops] Itchington",,,"SP3857",
35181,"WAR","42,3","Marton","[Long] Itchington",,,"SP4165",
35186,"SUS","10,11","`Totnore'","Itford","Pevensey",,"TQ4305",
35191,"LIN","4,37;71. 30,16. 47,4","Bradley","`Itterby'","Lindsey North Riding",,"TA3008",
35196,"NFK","1,195. 8,8","South Erpingham","Itteringham",,,"TG1430",
35201,"DEV","19,42-43. 34,45;47","Hemyock","Ivedon",,,"ST1401",
35206,"BUK","19,1","Stoke","Iver",,,"TQ0381",
35211,"BUK","3,2","Yardley","Ivinghoe",,,"SP9415",
35216,"HEF","1,10a","Leominster","Ivington",,,"SO4756",
35221,"DBY","6,1","Hamston","Ivonbrook [Grange]",,,"SK2458",
35226,"DOR","42,1","Gillingham","Iwerne [Courtney]",,,"ST8512",
35231,"DOR","19,7","Sixpenny","Iwerne Minster",,,"ST8614",
35236,"DOR","36,9","Pimperne","Iwerne [Stepleton]",,,"ST8611",
35241,"SUF","14,100. 66,1;9-10. 75,2","Blackburn","Ixworth",,,"TL9370",
