PlacesIdx,County,Phillimore,Hundred,Vill,Area,XRefs,OSrefs,OScodes
976,"SOM","19,65","{Blachethorna}","Alford",,,"ST6032",
981,"SOM","35,13","Williton","Alfoxton",,,"ST1441",
986,"DBY","16,7","`Scarsdale'","Alfreton",,,"SK4155",
991,"SUS","10,57-58","{Wandelmestrei}","Alfriston","Pevensey",,"TQ5103",
996,"NFK","9,52 and note;68 note","`Lodding'","{Algamundestuna}",,,,"unknown"
1001,"LIN","11,7. 12,73","Kirton","Algarkirk","Holland",,"TF2935",
1006,"SOM","8,30","Whitstone","Alhampton",,,"ST6234",
1011,"LIN","8,29. 14,29","`Manley'","Alkborough","Lindsey West Riding",,"SE8821",
1016,"GLS","78,16","{Blachelaue}","Alkerton",,,"SO7705",
1021,"OXF","7,50. 35,32","Bloxham","Alkerton",,,"SP3742",
1026,"GLS","1,15","Berkeley","Alkington",,,"ST6998",
1031,"SHR","4,14,8","Hodnet","Alkington",,,"SJ5339",
1036,"DBY","6,35","`Appletree'","Alkmonton",,,"SK1838",
1041,"GLS","(37,5) and note","Bledisloe","Allaston",,,"SO6404",
1046,"DEV","48,11","Kerswell","Aller",,,"SX8768",
1051,"DEV","16,103. 32,3","Silverton","Aller",,,"ST0506",
1056,"DEV","3,57. 42,12","South Molton","[North and South] Aller",,,,
1061,"SOM","21,63","Carhampton","Aller",,,"ST0042",
1066,"SOM","32,8","Somerton","Aller",,,"ST3929",
1071,"SOM","18,3","Williton","Aller",,,"ST0739",
1076,"SOM","25,23","Carhampton","Allercott",,,"SS9539",
1081,"SOM","32,4","Carhampton","Allerford",,,"SS9046",
1086,"YKS","1Y4. 1N46. SN,D12;14","{Dic}","Allerston","North Riding",,"SE8782",
1091,"YKS","1Y10. SE,P3","Pocklington","Allerthorpe","East Riding",,"SE7844",
1096,"YKS","6N153 and note. SN,CtA43","Land of Count Alan","Allerthorpe [Hall]","North Riding",,"SE3286",
1101,"CHS","R1,15","[West] Derby","Allerton","South Lancashire",,"SJ4187",
1106,"SOM","24,11","Bempstone","[Chapel and Stone] Allerton",,,,
1111,"YKS","9W131 and note;144. SW,M7","Morley","Allerton","West Riding",,"SE1133",
1116,"YKS","9W1. SW,Sk4 and note","`Skyrack'","Allerton [Bywater]","West Riding",,"SE4127",
1121,"YKS","9W14. SW,Sk4 note;9","`Skyrack'","[Chapel] Allerton","West Riding",,"SE3037",
1126,"YKS","1W37 and note. 28W3. 29W16. 31W1. SW,Bu10(-11)","`Burghshire'","Allerton [Mauleverer]","West Riding",,"SE4157",
1131,,,,"[North]allerton: see Northallerton YKS",,"Northallerton YKS",,
1136,"DBY","4,2","Litchurch","Allestree",,,"SK3439",
1141,"LEC","1,3. 40,27;39","`Goscote'","Allexton",,,"SK8100",
1146,"CHS","16,1","{Exestan}","Allington","Ati's Cross",,"SJ3857",
1151,"DOR","33,4","`Goderthorn'","Allington",,,"SY4693",
1156,"HAM","49,1","Mansbridge","Allington",,,"SU4717",
1161,"KEN","5,70","Eyhorne","Allington","Aylesford",,"TQ8456",
1166,"KEN","5,41","Larkfield","Allington","Aylesford",,"TQ7457",
