osmid,phase,year,osmname,category,lat,lon
236817846.0,year_2,1100.0,Sint-Martinuskerk,parish,50.96388734,5.500855089
104148668.0,year_2,1100.0,Collégiale Sainte-Begge,conventual,50.48688686,5.100859483
76823759.0,year_2,817.0,Ehemalige Reichsabtei (Benediktinerabtei) Kornelimünster,conventual,50.72891502,6.181824692
81244209.0,year_2,1200.0,Abbaye du Val-Dieu,conventual,50.69795128,5.805467513
3753863.0,year_2,1130.0,Abdij Rolduc,conventual,50.86813926,6.082211104
61814289.0,year_2,1100.0,St. Marien,parish,49.50552012,11.7385552
249503624.0,year_2,1200.0,kloster Sankt Emmeram spalt,conventual,49.17496164,10.9260526
45763285.0,year_2,1100.0,St. Martin,parish,49.7714513,11.05828557
18798415.0,year_2,1540.0,Hofkirche Zu unserer Lieben Frau,parish,49.28088093,11.46113061
45104659.0,year_2,1000.0,Martinskirche,conventual,49.71964155,11.05741404
144075255.0,year_2,1136.0,St. Nikolaus,parish,49.10649045,10.98617618
109465799.0,year_2,1150.0,Asamkirche St. Johannes Evangelista,conventual,49.70409841,11.58701408
33216172.0,year_2,1250.0,Mariä Himmelfahrt,conventual,49.26531258,11.30829652
52031458.0,year_2,800.0,St. Kilian,parish,49.50249823,10.41685745
80868327.0,year_2,1240.0,Basilika zur Heiligsten Dreifaltigkeit,parish,49.76990076,11.33720978
18792801.0,year_2,1100.0,Münster St. Johannes,parish,49.27993938,11.457532
28982053.0,year_2,1200.0,St. Walburga,parish,49.03487406,11.47331244
310994417.0,year_2,778.0,St. Wunibald,conventual,49.01753273,10.74283788
208053180.0,year_2,1071.0,Stiftsbasilika,conventual,49.23261682,10.49831683
34311134.0,year_2,1200.0,St. Andreas-Kirche,conventual,49.03189869,10.97034252
10935083.0,year_2,1139.0,Heilsbronner Münster,conventual,49.33778158,10.7917372
95256885.0,year_2,1134.0,Mariä Himmelfahrt,conventual,49.84751624,10.49517157
82533427.0,year_2,1100.0,Große Kirche,parish,52.14362209,7.340971071
242482198.0,year_2,1240.0,St. Pantaleon,parish,51.95433781,7.533384049
200234072.0,year_2,1400.0,St. Mariä Himmelfahrt,parish,52.04941877,8.031716423
122781715.0,year_2,1100.0,St.-Alexander-Kirche,parish,52.34977657,8.015688942
98503020.0,year_2,1180.0,St. Andreaskirche,parish,52.30161123,8.618361636
276497424.0,year_2,1220.0,Pfarrkirche St. Johannis,parish,52.5002335,7.952590669
146965811.0,year_2,900.0,St. Peter und Paul,parish,52.20663598,8.064620329
24564643.0,year_2,900.0,St. Martinus,parish,51.93009571,7.352941858
224526605.0,year_2,1300.0,St. Vincentius,parish,52.67251958,7.485852605
