osmid,osmname,category,lat,lon,year_zero
155689386,Église Saint-Michel de Vaucelles,parish,49.17395672,-0.355194683728244,950
155702894,Église Saint-Gilles - La Trinité,conventual,49.18634362,-0.352887088614247,1062
155702920,Église Saint-Jean,parish,49.18059633,-0.357626560424128,1200
155702951,Église Saint-Nicolas-des-Champs,parish,49.18384586,-0.374975225048502,1093
155853898,Église Saint-Brice,parish,49.05552981,4.003252776,1400
156075405,Chiesa di Santa Maria del Carmine,conventual,43.71285252,10.40075316,1324
156079975,Chiesa di San Martino,parish,43.7127454,10.40474648,950
156598842,Sixti-Ruine,parish,51.35186161,11.99678092,1045
156615075,Concattedrale di San Nicola,cathedral,38.35952203,15.8488582,1250
156707382,Église Saint-Loup,parish,48.95995109,4.369107612,1200
15718953,St Mary Redcliffe,parish,51.44832226,-2.589580774,1292
1576101,Santo Stefano Rotondo,conventual,41.8847245,12.49674432,450
157757738,Basilica di San Vitale,parish,44.42053757,12.1963285,525
158230794,"St Alfege, Greenwich",parish,51.48046182,-0.009711152,1010
158277810,Sant'Agata Maggiore,parish,44.41396433,12.20148701,475
158591056,Sant'Apollinare in Classe,parish,44.38028132,12.23301129,532
158946411,Duomo di Santa Maria Assunta,cathedral,45.23297821,11.46783625,1000
159312646,St. Johann,parish,47.69643826,8.636040164,1200
160505858,Chiesa di Sant'Afra in Sant'Eufemia,conventual,45.5358243,10.2296568,1022
160513639,St.-Quintinuskathedraal,parish,50.92987797,5.338828923,1100
160643152,Basilique Saint-Julien,other,45.29361554,3.384462152,700
16077204,Église Saint-Sulpice,parish,48.85099446,2.33484409,1250
16082412,Stadtkirche,parish,47.4989671,8.728662527,850
161278134,Unser Lieben Frauen,parish,52.27334522,11.86209783,1186
