PlacesIdx,County,Phillimore,Hundred,Vill,Area,XRefs,OSrefs,OScodes,lat,lon,easting,northing
14036,HAM,"27,2. 69,29",Fordingbridge,[North] Charford,,,SU1719,,50.970162,-1.759257,417000.0,119000.0
14041,HAM,"23,1;3;53. 43,6",Fordingbridge,[South] Charford,,,SU1618,,50.961198,-1.773542,416000.0,118000.0
14346,HAM,"23,25",Neatham,Chawton,,,SU7037,,51.128008,-1.001044,470000.0,137000.0
14811,HAM,"IoW6,9(-10)",Bowcombe,Cheverton,Isle of Wight,,SZ4584,,50.653938,-1.364789,445000.0,84000.0
14916,HAM,"3,3. 41,1",`Buddlesgate',Chilbolton,,,SU3940,,51.157925,-1.443691,439000.0,140000.0
14926,HAM,"3,1",{Falemere},Chilcomb,,,SU5028,,51.049174,-1.288067,450000.0,128000.0
15016,HAM,"IoW7,23. IoW8,7",Bowcombe,Chillerton,Isle of Wight,,SZ4883,,50.644706,-1.322484,448000.0,83000.0
15071,HAM,"1,6",Neatham,Chiltlee,,,SU8431,,51.072186,-0.802414,484000.0,131000.0
15091,HAM,"IoW7,20. IoW8,12",Bowcombe,Chilton,Isle of Wight,,SZ4182,,50.636247,-1.421591,441000.0,82000.0
15156,HAM,"39,4",Mansbridge,Chilworth,,,SU4018,,50.960036,-1.43182,440000.0,118000.0
15176,HAM,"23,10",Basingstoke,Chineham,,,SU6453,,51.272564,-1.083922,464000.0,153000.0
15181,HAM,"2,16",Broughton,{Chingescamp},,,,unknown,,,,
15361,HAM,"23,46. 43,1. 50,2. 68,10",Andover,[East] Cholderton,,,SU2945,,51.203476,-1.586279,429000.0,145000.0
15431,HAM,"1,28. 17,1-2",`Edgegate',Christchurch,,,SZ1592,,50.727419,-1.788839,415000.0,92000.0
15531,HAM,"NF9,20",Boldre,{Cildeest},,,SU3002,speculative,50.816765,-1.575511,430000.0,102000.0
15596,HAM,"23,48",Andover,Clanville,,,SU3148,,51.230347,-1.557395,431000.0,148000.0
15681,HAM,"1,25",Andover,[Upper] Clatford,,,SU3543,,51.185158,-1.500595,435000.0,143000.0
15686,HAM,"23,2;54",Fordingbridge,{Clatinges},,,SU1718,approximate,50.961169,-1.759304,417000.0,118000.0
15976,HAM,"50,1",Kingsclere,`Clere',,,SU4759,,51.328163,-1.326809,447000.0,159000.0
15981,HAM,"3,7",`Evingar',Highclere,,,SU4458,,51.31941,-1.369987,444000.0,158000.0
15986,HAM,"1,43-44. 6,9. 23,22. 69,42-43",Kingsclere,Kingsclere,,,SU5258,,51.318738,-1.255197,452000.0,158000.0
16031,HAM,"37,1",Basingstoke,Cliddesden,,,SU6349,,51.236712,-1.098959,463000.0,149000.0
16736,HAM,"57,2",Barton,Colemore,,,SU7030,,51.065071,-1.002399,470000.0,130000.0
17001,HAM,"26,1",Hurstbourne,Combe,,,SU3760,,51.337889,-1.470224,437000.0,160000.0
17141,HAM,"53,2",Somborne,Compton,,,SU3429,,51.059332,-1.516218,434000.0,129000.0
17146,HAM,"IoW1,2",Bowcombe,Compton,Isle of Wight,,SZ3785,,50.663493,-1.477851,437000.0,85000.0
17496,HAM,"IoW7,18",Bowcombe,Coombe,Isle of Wight,,SZ4283,,50.645169,-1.407338,442000.0,83000.0
17551,HAM,"28,2",Portsdown,Copnor,,,SU6602,,50.813787,-1.064539,466000.0,102000.0
17616,HAM,"23,19",Meonstoke,Corhampton,,,SU6120,,50.976184,-1.1325,461000.0,120000.0
