PlacesIdx,County,Phillimore,Hundred,Vill,Area,XRefs,OSrefs,OScodes,lat,lon,easting,northing,start_date,end_date
61186,LEC,"3,10. 8,4. 10,10. 13,25. 17,7;11(-14). 29,9",Guthlaxton,Swinford,,,SP5679,,52.406167,-1.178234,456000.0,279000.0,1066,1086
61196,WOR,"23,11",Clent,[Old] Swinford,,,SO9083,,52.444885,-2.148546,390000.0,283000.0,1066,1086
61201,LIN,"12,33. 32,10. 48,4",`Haverstoe',Swinhope,Lindsey North Riding,,TF2196,,53.446906,-0.179568,521000.0,396000.0,1066,1086
61206,LIN,"7,42. 31,8. 35,12. 56,3. 68,17",`Beltisloe',Swinstead,Kesteven,,TF0122,,52.786155,-0.503836,501000.0,322000.0,1066,1086
61211,LIN,"1,37. 2,12. 28,27",`Wraggoe',Swinthorpe,Lindsey South Riding,,TF0581,,53.315554,-0.425351,505000.0,381000.0,1066,1086
61216,YKS,"10W17. 21W2;(4). SW,Sf10;27",Strafforth,Swinton,West Riding,,SK4599,,53.485818,-1.323312,445000.0,399000.0,1066,1086
61221,YKS,"1N68. SN,Ma7",{Maneshou},Swinton,North Riding,,SE7573,,54.147378,-0.853285,475000.0,473000.0,1066,1086
61226,YKS,"6N118. SN,CtA34",Land of Count Alan,Swinton,North Riding,,SE2179,,54.20633,-1.679552,421000.0,479000.0,1066,1086
61236,OXF,"35,33",Benson,Swyncombe,,,SU6890,,51.604745,-1.019493,468000.0,190000.0,1066,1086
61241,STS,"11,18",Pirehill,Swynnerton,,,SJ8535,,52.912229,-2.224498,385000.0,335000.0,1066,1086
61246,DOR,"34,8",`Uggescombe',Swyre,,,SY5288,,50.689648,-2.680881,352000.0,88000.0,1066,1086
61251,GLS,"68,10",Rapsgate,Syde,,,SO9410,,51.788629,-2.088384,394000.0,210000.0,1066,1086
61256,DEV,"24,7",Witheridge,Sydeham,,,SS8719,,50.959305,-3.610363,287000.0,119000.0,1066,1086
61261,DEV,"17,8",Lifton,Sydenham,,,SX4283,,50.62523,-4.235176,242000.0,83000.0,1066,1086
