"","id","morph","azimuth","area","trait_1","trait_2","trait_3","trait_4","trait_5","trait_6","trait_7","trait_8","name","date","dating_notes","xlong","ylat","date_type","xeast","ynorth","date_emp","model_age_mean","model_age_sd"
"689",537,"square",94.820688,2580.25355,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Unknown",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",103.97889,13.29163,"regression",389393.9,1469610,NA,882.325147484676,141.51706189233
"690",363,"horseshoe_east",90.090744,2585.131222,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Kôk Kasin",930.5793,"Date derived through multiple linear regression (Klassen et al. 2018).",104.06695,13.2785,"regression",398930.6,1468124,NA,939.00025167709,140.640446512918
"691",615,"horseshoe_east",84.289428,2585.848939,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Prei Kroch (Pr.)",1111,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.76113,13.37277,"graphbased",365871.6,1478709,NA,1087.97628197673,140.707883387827
"692",547,"causeway_2",87.51045,2588.831244,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Unknown",1043,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.82446,13.40693,"graphbased",372738.2,1482442,NA,1032.3655092667,145.966064472662
"693",160,"square",84.09387,2590.797871,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Kouk Bos Chong",1132.733,"Date derived through multiple linear regression (Klassen et al. 2018).",103.77686,13.52936,"regression",367648.6,1496011,NA,903.340626240169,141.991079022585
"694",298,"square",90,2605.812815,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Phnom Bok (Pr.)",895,"Date derived from art historical analyses of lintels (Polkinghorne 2007).",103.98319,13.46615,"empirical",389945.9,1488912,895,895,0
"695",353,"horseshoe_east",90,2607.130657,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Kôk Lâ-âk",1021.586,"Date derived through multiple linear regression (Klassen et al. 2018).",104.05261,13.30561,"regression",397382.1,1471128,NA,1087.97879485931,141.446846171926
"696",443,"horseshoe_east",89.464521,2613.668239,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Prei Phdau (Pr.)",1132.733,"Date derived through multiple linear regression (Klassen et al. 2018).",103.78017,13.34994,"regression",367901,1476161,NA,937.81161919387,140.134318971088
"697",230,"horseshoe_east",90,2616.184899,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Kouk Chan Laok",1087.121,"Date derived through multiple linear regression (Klassen et al. 2018).",103.63587,13.51147,"regression",352365.9,1494112,NA,958.953432841374,140.074638733022
"698",102,"horseshoe_east",74.974758,2616.680544,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Tuol Prasat Tumroeng",1132.733,"Date derived through multiple linear regression (Klassen et al. 2018).",103.70471,13.52626,"regression",359831.7,1495706,NA,940.417414407808,140.99605784762
"699",187,"horseshoe_east",89.169666,2648.420549,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Kôk Trâpeang Ponlei",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",103.8045,13.51321,"regression",370630.6,1494218,NA,960.437306258242,139.649198241432
"700",861,"horseshoe_east",87.397419,2658.088307,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,378459.2,1484098,NA,961.158243664083,140.606368194316
"701",590,"horseshoe_east",90,2669.69925,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Kôk Kanhchoan Chrov",865.0443,"Date derived through multiple linear regression (Klassen et al. 2018).",104.0432,13.3373,"regression",396365.9,1474632,NA,960.949886337827,141.561108959023
"702",179,"square",91.287304,2684.123721,FALSE,TRUE,NA,NA,NA,NA,NA,NA,"Tuol Phom Preas Ko",1132.733,"Date derived through multiple linear regression (Klassen et al. 2018).",103.83034,13.49803,"regression",373406.7,1492509,NA,926.404853701657,173.415868208714
"703",5,"square",270,2687.638508,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Kouk Arak",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",103.75962,13.6813,"regression",365864.3,1512834,NA,1006.60600338637,149.161078666693
"704",1088,NA,90,2699.652013,TRUE,FALSE,NA,NA,NA,NA,NA,NA,"Unknown",903,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.9039,13.52652,"graphbased",NA,NA,NA,1021.92445398753,178.665740582464
"705",827,"square",90.267735,2700.210564,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Mebon Occidental (West Mebon)",713,"Archaeological research suggests a significant Pre-Angkorian population in the area around the West Baray (Pottier et al. 2004). West Mebon temple associated with King Udityavarman II (Jacques and Lafond 2007: 141).  See also Greater Angkor Project 2005-6 to 2010-11 Preliminary Report Series: West Mebon- central platform June 2005.  (Greater Angkor Project, Siem Reap, 2011).",103.80032,13.43425,"empirical",370116,1485472,713,713,0
"706",249,"causeway_2",88.992046,2708.720641,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Tuol Prasat",1021.586,"Date derived through multiple linear regression (Klassen et al. 2018).",103.75006,13.46977,"regression",364712.2,1489434,NA,1030.58294501469,144.408447888858
"707",6774,"horseshoe_east",85.931934,2713.15499,TRUE,TRUE,NA,NA,NA,NA,NA,NA,"Tuol",856,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.82365,13.50713,"graphbased",372608,1493513,NA,1010.17286312643,167.215678309729
"708",29,"horseshoe_north",262.325511,2716.141476,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Kontrep (Pr.)",930.5793,"Date derived through multiple linear regression (Klassen et al. 2018).",103.7431,13.6251,"regression",364039.4,1506613,NA,794.999724940064,187.395139048808
"709",864,"square",83.82988,2717.209899,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Unknown",889,"Temple is included in CCC in Period 2.",NA,NA,"empirical",377418.5,1484113,889,889,0
"710",589,"blob",184.112255,2725.828037,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Kôk Prasat (Pr.)",930.5793,"Date derived through multiple linear regression (Klassen et al. 2018).",104.07393,13.33041,"regression",399703.7,1473856,NA,1015.95789759244,156.53707934617
"711",444,"horseshoe_east",86.478489,2747.306809,TRUE,TRUE,NA,NA,NA,NA,NA,NA,"Kouk Ampil",865.0443,"Date derived through multiple linear regression (Klassen et al. 2018).",103.77954,13.35441,"regression",367829.5,1476654,NA,1010.59752052309,167.608059501582
"712",638,"square",90,2760.989637,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Wat Tbaeng",1087.121,"Date derived through multiple linear regression (Klassen et al. 2018).",104.01017,13.51021,"regression",392871.8,1493781,NA,876.285857521866,139.172186784215
"713",167,"horseshoe_east",87.397455,2765.755458,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Unknown",1035,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.87345,13.48079,"graphbased",378065.1,1490584,NA,1065.17556891795,141.280332150491
